Game, Date, PlayerID, GroupID, Time, MatchingScheme, Win, NumClicks, ReqTime, DisplayTime, NumShapes, ShapesMatched, Var1, Var2, Var3,
10817,4/10/26 9:20,11,STAT209-01,46.9494,One Color,1,24,0,1,24,24,0,,,
10818,4/10/26 9:20,6,STA209-01,48.079,One Color,1,25,0,1,24,24,0,,,
10819,4/10/26 9:20,9,STA209-01,52.9204,One Color,1,25,0,1,24,24,0,,,
10820,4/10/26 9:21,16,STA209-01,55.6881,One Color,1,25,0,1,24,24,0,,,
10821,4/10/26 9:21,test,test,55.9493,One Color,1,25,0,1,24,24,0,,,
10822,4/10/26 9:21,3,STA209-01,57.7031,One Color,1,25,0,1,24,24,0,,,
10823,4/10/26 9:21,5,STA209-01,67.1556,One Color,1,24,0,1,24,24,0,,,
10824,4/10/26 9:21,10,STA209-01,68.4048,One Color,1,25,0,1,24,24,0,,,
10825,4/10/26 9:21,15,STA209-01,70.6482,One Color,1,25,0,1,24,24,0,,,
10826,4/10/26 9:21,9,STA209-01,70.9873,One Color,1,24,0,1,24,24,0,,,
10827,4/10/26 9:25,5,STA209-01,55.9538,One Color,1,25,0,1,24,24,1,,,
10828,4/10/26 9:25,9,STA209-01,56.9033,One Color,1,24,0,1,24,24,1,,,
10829,4/10/26 9:25,test,test,53.7165,One Color,1,24,0,1,24,24,1,,,
10830,4/10/26 9:25,17,STA209-01,59.3706,One Color,1,25,0,1,24,24,,,,
10831,4/10/26 9:25,2,STA209-01,59.2211,One Color,1,24,0,1,24,24,1,,,
10832,4/10/26 9:25,18,STA209-01,65.0977,One Color,1,26,0,1,24,24,1,,,
10833,4/10/26 9:25,8,STA209-01,65.2395,One Color,1,28,0,1,24,24,1,,,
10834,4/10/26 9:25,1,STA209-01,71.9563,One Color,1,26,0,1,24,24,1,,,
10835,4/10/26 9:25,7,STA209-01,72.7391,One Color,1,25,0,1,24,24,1,,,
10836,4/10/26 10:08,FICC_18,FICC,60,Random Colors,0,21,60,1,24,18,4,1,,
10837,4/10/26 10:09,FICC_4,FICC,39.1556,One Color,1,17,60,1,15,15,3,1,,
10838,4/10/26 10:09,FICC_20,FICC,39.0561,One Color,1,15,60,1,15,15,3,1,,
10839,4/10/26 10:09,FICC_12,FICC,33.8467,One Color,1,17,60,1,15,15,3,1,,
10840,4/10/26 10:09,FICC_1,FICC,39.2695,Random Colors,1,15,60,1,15,15,2,1,,
10841,4/10/26 10:09,FICC_16,FICC,32.8042,One Color,1,15,60,1,15,15,3,1,,
10842,4/10/26 10:09,FICC_8,FICC,37.2002,One Color,1,16,60,1,15,15,3,1,,
10843,4/10/26 10:09,FICC_17,FICC,55.747,Random Colors,1,15,60,1,15,15,2,1,,
10844,4/10/26 10:09,FICC_15,FICC,60,One Color,0,19,60,1,24,17,1,1,,
10845,4/10/26 10:09,FICC_9,FICC,43.45,Random Colors,1,16,60,1,15,15,2,1,,
10846,4/10/26 10:09,FICC_3,FICC,57.6735,One Color,1,25,60,1,24,24,1,1,,
10847,4/10/26 10:09,FICC_13,FICC,33.7524,Random Colors,1,16,60,1,15,15,2,1,,
10848,4/10/26 10:10,FICC_10,FICC,60,Random Colors,0,22,60,1,24,21,4,1,,
10849,4/10/26 10:10,FICC_21,FICC,34.0213,One Shape Diff Col,1,15,60,1,15,15,5,1,,
10850,4/10/26 10:10,FICC_7,FICC,60,One Color,0,16,60,1,24,9,1,1,,
10851,4/10/26 10:10,FICC_6,FICC,60,Random Colors,0,22,60,1,24,20,4,1,,
10852,4/10/26 10:10,FICC_11,FICC,60,One Color,0,24,60,1,24,23,1,1,,
10853,4/10/26 10:10,FICC_2,FICC,60,Random Colors,0,16,60,1,24,14,4,1,,
10854,4/10/26 10:10,FICC_5,FICC,52.6516,Random Colors,1,16,60,1,15,15,2,1,,
10855,4/10/26 10:10,FICC_19,FICC,53.4432,One Color,1,25,60,1,24,24,1,1,,
10856,4/10/26 10:10,FICC_22,FICC,49.285,One Shape Diff Col,1,17,60,1,15,15,5,1,,
10857,4/10/26 10:10,FICC_14,FICC,60,Random Colors,0,15,60,1,24,14,4,1,,
10858,4/10/26 10:11,FICC_1,FICC,43.8475,Random Colors,1,16,60,1,15,15,2,1,,
10859,4/10/26 10:14,FICC_18,FICC,55.1539,Random Colors,1,24,0,1,24,24,4,2,,
10860,4/10/26 10:14,FICC_4,FICC,60,Random Colors,0,23,60,1,24,21,3,2,,
10861,4/10/26 10:14,FICC_19,FICC,56.5839,Random Colors,1,25,0,1,24,24,1,2,,
10862,4/10/26 10:14,FICC_11,FICC,64.9517,Random Colors,1,24,0,1,24,24,1,2,,
10863,4/10/26 10:14,FICC_1,FICC,64.9518,Random Colors,1,24,0,1,24,24,2,2,,
10864,4/10/26 10:14,FICC_3,FICC,61.4324,Random Colors,1,25,0,1,24,24,1,2,,
10865,4/10/26 10:14,FICC_2,FICC,67.2379,Random Colors,1,25,0,1,24,24,4,2,,
10866,4/10/26 10:14,FICC_5,FICC,70.3767,Random Colors,1,25,0,1,24,24,2,2,,
10867,4/10/26 10:14,FICC_16,FICC,75.9724,Random Colors,1,26,0,1,24,24,3,2,,
10868,4/10/26 10:14,FICC_20,FICC,70.4725,Random Colors,1,27,0,1,24,24,3,2,,
10869,4/10/26 10:14,FICC_6,FICC,72.8145,Random Colors,1,25,0,1,24,24,4,2,,
10870,4/10/26 10:14,FICC_17,FICC,75.1827,Random Colors,1,24,0,1,24,24,2,2,,
10871,4/10/26 10:14,FICC_10,FICC,72.4193,Random Colors,1,26,0,1,24,24,4,2,,
10872,4/10/26 10:14,FICC_21,FICC,83.0066,Random Colors,1,26,0,1,24,24,5,2,,
10873,4/10/26 10:14,FICC_22,FICC,81.7002,Random Colors,1,27,0,1,24,24,5,2,,
10874,4/10/26 10:14,FICC_15,FICC,84.3697,Random Colors,1,25,0,1,24,24,1,2,,
10875,4/10/26 10:14,FICC_8,FICC,88.7362,Random Colors,1,26,0,1,24,24,3,2,,
10876,4/10/26 10:15,FICC_7,FICC,97.5532,Random Colors,1,34,0,1,24,24,1,2,,
10877,4/10/26 10:15,FICC_4,FICC,59.0048,Random Colors,1,24,0,1,24,24,3,2,,
10878,4/10/26 10:15,FICC_14,FICC,93.2136,Random Colors,1,26,0,1,24,24,4,2,,
